,,,76.2
crop,plant,row,distance
bareground,1,a,0
bareground,2,a,76.2
bareground,3,a,152.4
bareground,4,a,228.6
bareground,5,a,304.8
bareground,6,a,381
bareground,1,b,38.1
bareground,2,b,114.3
bareground,3,b,190.5
bareground,4,b,266.7
bareground,5,b,342.9
bareground,6,b,419.1
bareground,1,c,0
bareground,2,c,76.2
bareground,3,c,152.4
bareground,4,c,228.6
bareground,5,c,304.8
bareground,6,c,381
bareground,1,d,38.1
bareground,2,d,114.3
bareground,3,d,190.5
bareground,4,d,266.7
bareground,5,d,342.9
bareground,6,d,419.1
soybean,1,a,0
soybean,2,a,76.2
soybean,3,a,152.4
soybean,4,a,228.6
soybean,5,a,304.8
soybean,6,a,381
soybean,1,b,38.1
soybean,2,b,114.3
soybean,3,b,190.5
soybean,4,b,266.7
soybean,5,b,342.9
soybean,6,b,419.1
soybean,1,c,0
soybean,2,c,76.2
soybean,3,c,152.4
soybean,4,c,228.6
soybean,5,c,304.8
soybean,6,c,381
soybean,1,d,38.1
soybean,2,d,114.3
soybean,3,d,190.5
soybean,4,d,266.7
soybean,5,d,342.9
soybean,6,d,419.1
corn,1,a,0
corn,2,a,76.2
corn,3,a,152.4
corn,4,a,228.6
corn,5,a,304.8
corn,6,a,381
corn,1,b,38.1
corn,2,b,114.3
corn,3,b,190.5
corn,4,b,266.7
corn,5,b,342.9
corn,6,b,419.1
corn,1,c,0
corn,2,c,76.2
corn,3,c,152.4
corn,4,c,228.6
corn,5,c,304.8
corn,6,c,381
corn,1,d,38.1
corn,2,d,114.3
corn,3,d,190.5
corn,4,d,266.7
corn,5,d,342.9
corn,6,d,419.1